               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026065,             0.01072,            0.022223,             0.99032,             0.98386,             0.98946,             0.74922,            0.010983,           0.0028775,           0.0012561,            0.070001,           0.0033332,           0.0033332
                   1,            0.018607,           0.0079224,           0.0048924,               0.991,             0.98611,             0.99118,             0.75212,            0.010658,           0.0027841,           0.0010315,            0.039781,           0.0064466,           0.0064466
                   2,            0.017429,           0.0079995,           0.0050856,             0.99178,             0.98487,             0.99105,             0.74308,             0.01109,           0.0030998,           0.0012006,           0.0093408,           0.0093399,           0.0093399
                   3,            0.015726,           0.0076218,           0.0043347,             0.99417,             0.96481,             0.98316,             0.72996,            0.012021,           0.0045222,           0.0017314,             0.00901,             0.00901,             0.00901
                   4,             0.01414,           0.0069771,           0.0033842,             0.99571,             0.93108,             0.98057,             0.72528,            0.012401,           0.0051277,           0.0015922,             0.00901,             0.00901,             0.00901
                   5,            0.013364,           0.0067301,           0.0030934,             0.99402,             0.96666,             0.98466,             0.74017,            0.011896,           0.0044123,           0.0011479,             0.00868,             0.00868,             0.00868
                   6,            0.012822,           0.0065004,           0.0028043,             0.99306,             0.97895,             0.98843,             0.76112,            0.011099,           0.0035949,          0.00082757,             0.00835,             0.00835,             0.00835
                   7,            0.012472,           0.0063499,           0.0026958,             0.99293,             0.98334,             0.99106,             0.77683,            0.010383,            0.003118,          0.00056974,             0.00802,             0.00802,             0.00802
                   8,            0.012278,           0.0062792,           0.0026537,             0.99187,             0.98646,             0.99254,              0.7867,            0.009903,           0.0028439,          0.00038296,             0.00769,             0.00769,             0.00769
                   9,            0.012008,           0.0061718,           0.0025396,             0.99173,             0.98742,             0.99375,             0.79446,           0.0095452,           0.0026946,          0.00026673,             0.00736,             0.00736,             0.00736
                  10,            0.011737,           0.0060528,           0.0024515,             0.99122,             0.98876,             0.99413,             0.80019,           0.0093078,           0.0026051,           0.0001956,             0.00703,             0.00703,             0.00703
                  11,            0.011581,           0.0059835,            0.002354,             0.99072,              0.9895,             0.99416,             0.80446,           0.0091201,           0.0025521,          0.00015329,              0.0067,              0.0067,              0.0067
                  12,             0.01127,           0.0058605,           0.0021853,             0.99242,             0.98855,             0.99427,             0.80722,           0.0089797,           0.0025154,          0.00012672,             0.00637,             0.00637,             0.00637
                  13,            0.011063,           0.0057812,           0.0021446,             0.99337,             0.98858,              0.9944,              0.8098,           0.0088566,           0.0024807,          0.00010915,             0.00604,             0.00604,             0.00604
                  14,            0.010925,           0.0057334,           0.0020978,             0.99345,             0.98904,             0.99443,             0.81246,           0.0087635,           0.0024578,          9.4158e-05,             0.00571,             0.00571,             0.00571
                  15,            0.010684,           0.0056245,           0.0019902,             0.99397,             0.98844,             0.99446,             0.81393,           0.0086816,           0.0024392,          8.4872e-05,             0.00538,             0.00538,             0.00538
                  16,            0.010539,            0.005567,           0.0019089,             0.99348,             0.98883,             0.99448,             0.81498,           0.0086178,            0.002423,          7.7338e-05,             0.00505,             0.00505,             0.00505
                  17,             0.01027,            0.005446,           0.0018615,             0.99361,             0.98907,             0.99454,             0.81666,           0.0085464,           0.0024076,          7.0026e-05,             0.00472,             0.00472,             0.00472
                  18,           0.0099863,           0.0053506,           0.0016897,             0.99178,             0.99092,             0.99455,             0.81769,           0.0084858,           0.0023935,          6.6221e-05,             0.00439,             0.00439,             0.00439
                  19,            0.009803,           0.0052821,           0.0016402,             0.99194,             0.99103,             0.99454,             0.81936,           0.0084247,           0.0023798,           6.317e-05,             0.00406,             0.00406,             0.00406
                  20,           0.0095649,            0.005177,           0.0015964,             0.99289,             0.99118,             0.99459,             0.82008,           0.0083656,           0.0023687,          5.8841e-05,             0.00373,             0.00373,             0.00373
                  21,           0.0093104,           0.0050824,           0.0014698,             0.99242,             0.99198,              0.9946,             0.82162,           0.0083071,           0.0023583,          5.4876e-05,              0.0034,              0.0034,              0.0034
                  22,           0.0090624,           0.0049627,            0.001398,             0.99278,             0.99147,             0.99461,             0.82245,           0.0082591,           0.0023503,          5.1655e-05,             0.00307,             0.00307,             0.00307
                  23,           0.0087799,           0.0048662,           0.0012638,             0.99275,             0.99208,             0.99464,             0.82361,           0.0082146,           0.0023397,          4.8141e-05,             0.00274,             0.00274,             0.00274
                  24,            0.008562,           0.0047777,           0.0011756,             0.99261,             0.99312,             0.99469,             0.82522,           0.0081716,           0.0023273,          4.5032e-05,             0.00241,             0.00241,             0.00241
                  25,           0.0082202,           0.0046362,           0.0010563,             0.99354,             0.99303,             0.99472,             0.82689,           0.0081395,           0.0023172,          4.2519e-05,             0.00208,             0.00208,             0.00208
                  26,           0.0079166,           0.0045079,          0.00096959,             0.99327,             0.99351,             0.99473,             0.82937,            0.008115,           0.0023077,          4.0198e-05,             0.00175,             0.00175,             0.00175
                  27,           0.0075715,           0.0043929,          0.00089143,             0.99436,             0.99326,             0.99475,              0.8336,           0.0080848,           0.0022973,          3.7746e-05,             0.00142,             0.00142,             0.00142
                  28,           0.0072376,           0.0042751,            0.000729,             0.99454,             0.99347,             0.99477,             0.83764,           0.0080483,           0.0022894,          3.5035e-05,             0.00109,             0.00109,             0.00109
                  29,           0.0068277,           0.0041164,          0.00067675,             0.99437,             0.99332,              0.9948,             0.83893,           0.0080234,           0.0022827,          3.1956e-05,             0.00076,             0.00076,             0.00076
